"","Company","Date200506","GWP200506","RE200506","NWP200506","GIC200506","NRR200506","RR200506","NIC200506","UWE200506","UWR200506","II200506","OI200506","NPAT200506","Date200512","GWP200512","RE200512","NWP200512","GIC200512","NRR200512","RR200512","NIC200512","UWE200512","UWR200512","II200512","OI200512","NPAT200512","Date200606","GWP200606","RE200606","NWP200606","GIC200606","NRR200606","RR200606","NIC200606","UWE200606","UWR200606","II200606","OI200606","NPAT200606","Date200612","GWP200612","RE200612","NWP200612","GIC200612","NRR200612","RR200612","NIC200612","UWE200612","UWR200612","II200612","OI200612","NPAT200612","Date200706","GWP200706","RE200706","NWP200706","GIC200706","NRR200706","RR200706","NIC200706","UWE200706","UWR200706","II200706","OI200706","NPAT200706","Date200712","GWP200712","RE200712","NWP200712","GIC200712","NRR200712","RR200712","NIC200712","UWE200712","UWR200712","II200712","OI200712","NPAT200712","Date200806","GWP200806","RE200806","NWP200806","GIC200806","NRR200806","RR200806","NIC200806","UWE200806","UWR200806","II200806","OI200806","NPAT200806","Date200812","GWP200812","RE200812","NWP200812","GIC200812","NRR200812","RR200812","NIC200812","UWE200812","UWR200812","II200812","OI200812","NPAT200812","Date200906","GWP200906","RE200906","NWP200906","GIC200906","NRR200906","RR200906","NIC200906","UWE200906","UWR200906","II200906","OI200906","NPAT200906","Date200912","GWP200912","RE200912","NWP200912","GIC200912","NRR200912","RR200912","NIC200912","UWE200912","UWR200912","II200912","OI200912","NPAT200912","Date201006","GWP201006","RE201006","NWP201006","GIC201006","NRR201006","RR201006","NIC201006","UWE201006","UWR201006","II201006","OI201006","NPAT201006"
"84","IAL","30 Jun",2731984,1515436,1216548,2177747,237186,930877,1009684,263045,-56181,898995,-231653,611161,"30 Jun",2731984,1515436,1216548,2177747,237186,930877,1009684,263045,-56181,898995,-231653,611161,"30 Jun",2661621,1490279,1171342,1752989,222577,692008,838404,289959,42979,893985,-284335,652629,"30 Jun",2661621,1490279,1171342,1752989,222577,692008,838404,289959,42979,893985,-284335,652629,"30 Jun",2648435,1460976,1187459,2207119,325777,1106350,774992,286245,126222,693126,-310304,509044,"30 Jun",2648435,1460976,1187459,2207119,325777,1106350,774992,286245,126222,693126,-310304,509044,"30 Jun",2666385,1523018,1143367,1846413,196209,777042,873162,336564,-66358,547175,-247291,233526,"30 Jun",2666385,1523018,1143367,1846413,196209,777042,873162,336564,-66358,547175,-247291,233526,"30 Jun",2922328,1640823,1281505,2401939,256743,782703,1362493,311525,-392513,696277,-197271,106493,"30 Jun",2922328,1640823,1281505,2401939,256743,782703,1362493,303261,-384249,696277,-199751,112277,"30 Jun",3139982,1735008,1404974,2401674,326536,802544,1272594,265013,-132633,806757,-218937,455187
"85","IMA","30 Jun",2034834,98268,1936566,1590300,207484,75212,1307604,355999,272963,150358,-135523,287798,"30 Jun",2034834,98268,1936566,1590300,207484,75212,1307604,355999,272963,150358,-135523,287798,"30 Jun",1991234,148985,1842249,1303372,166451,3900,1133020,369132,340096,178613,-166063,352646,"30 Jun",1991234,148985,1842249,1303372,166451,3900,1133020,369132,340096,178613,-166063,352646,"30 Jun",2009615,106236,1903379,1816822,195419,323448,1297955,375458,229966,150872,-124034,256805,"30 Jun",2009615,106236,1903379,1816822,195419,323448,1297955,375458,229966,150872,-124034,256805,"30 Jun",2077011,104559,1972452,1599038,219564,-79215,1458689,367663,146100,7296,-58525,94871,"30 Jun",2077011,104559,1972452,1599038,219564,-79215,1458689,367663,146100,7296,-58525,94871,"30 Jun",2224362,137014,2087348,1678328,223086,126899,1328343,412194,346811,13087,-108723,251175,"30 Jun",2224362,137014,2087348,1678328,223086,126899,1328343,412194,346811,13087,-108723,251175,"30 Jun",2369304,196605,2172699,1737148,248843,163755,1324550,437627,410522,98877,-155145,354254
"86","ING","31 Dec",16027,0,16027,5167,0,0,5167,2790,8070,1317,-3487,5900,"31 Dec",19727,0,19727,5578,0,0,5578,4091,10058,2505,-4747,7816,"31 Dec",19727,0,19727,5578,0,0,5578,4091,10058,2505,-4747,7816,"31 Dec",51882,744,51138,26054,0,0,26054,10221,14863,5318,-7474,12707,"31 Dec",51882,744,51138,26054,0,0,26054,10221,14863,5318,-7474,12707,"31 Dec",67525,1340,66185,28209,0,0,28209,14867,23109,4484,-11196,16397,"31 Dec",67525,1340,66185,28209,0,0,28209,14867,23109,4484,-11196,16397,"31 Dec",76833,2027,74806,43673,0,107,43566,17106,14134,-8670,-3341,2123,"31 Dec",76833,2027,74806,43673,0,107,43566,17106,14134,-8670,-3341,2123,"31 Dec",120367,3853,116514,66045,674,122,65249,4866,46399,4687,-25353,25733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","INTHANN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",4722,4218,504,2159,0,1890,269,-94,329,24,-118,235,"31 Dec",4722,4218,504,2159,0,1890,269,-94,329,24,-118,235,"31 Dec",19995,17891,2104,9842,0,8587,1255,-509,1358,222,-1085,495,"31 Dec",19995,17891,2104,9842,0,8587,1255,-509,1358,222,-1085,495
"88","KEMPER INS","31 Dec",0,0,0,-1572,0,-1060,-512,0,512,255,-244,523,"31 Dec",0,0,0,-210,0,-1,-209,0,209,293,-236,266,"31 Dec",0,0,0,-210,0,-1,-209,0,209,293,-236,266,"31 Dec",0,0,0,-23,0,0,-23,0,23,239,-238,24,"31 Dec",0,0,0,-23,0,0,-23,0,23,239,-238,24,"31 Dec",0,0,0,108,0,0,108,0,-108,258,0,150,"31 Dec",0,0,0,108,0,0,108,0,-108,258,0,150,"31 Dec",0,0,0,764,0,-61,825,0,-825,290,-241,-776,"31 Dec",0,0,0,764,0,-61,825,0,-825,290,-241,-776,"31 Dec",0,0,0,-139,0,-43,-96,0,96,169,0,265,"31 Dec",0,0,0,-139,0,-43,-96,0,96,169,0,265
"89","LAWCOVER","30 Jun",71702,32940,38762,55201,0,26019,29182,0,9580,2825,-7195,5210,"30 Jun",71702,32940,38762,55201,0,26019,29182,0,9580,2825,-7195,5210,"30 Jun",77669,33088,44581,57844,0,27745,30099,0,14482,4315,-9451,9346,"30 Jun",77669,33088,44581,57844,0,27745,30099,0,14482,4315,-9451,9346,"30 Jun",74329,32100,42229,54866,0,30140,24726,0,17503,6155,-12286,11372,"30 Jun",74329,32100,42229,54866,0,30140,24726,0,17503,6155,-12286,11372,"30 Jun",74622,32101,42521,61303,0,32083,29220,0,13301,6187,-11048,8440,"30 Jun",74622,32101,42521,61303,0,32083,29220,0,13301,6187,-11048,8440,"30 Jun",85113,36720,48393,65364,743,28943,35678,0,12715,18549,-15385,15879,"30 Jun",85113,36720,48393,65364,743,28943,35678,0,12715,18549,-15385,15879,"30 Jun",84002,39606,44396,57096,606,20625,35865,0,8531,10893,-12320,7104
"90","LIBERTY","31 Dec",168696,88202,80494,156884,0,102250,54634,-3509,29369,15260,-24739,19890,"31 Dec",166841,91406,75435,59917,0,2772,57145,-35,18325,17146,-25638,9833,"31 Dec",166841,91406,75435,59917,0,2772,57145,-35,18325,17146,-25638,9833,"31 Dec",166016,87551,78465,81181,0,28836,52345,-2819,28939,14187,-24119,19007,"31 Dec",166016,87551,78465,81181,0,28836,52345,-2819,28939,14187,-24119,19007,"31 Dec",157249,92782,64467,34836,0,-1243,36079,-2897,31285,16168,-30293,17160,"31 Dec",157249,92782,64467,34836,0,-1243,36079,-2897,31285,16168,-30293,17160,"31 Dec",175385,61947,113438,49410,0,33380,16030,6003,91405,51235,-55248,87392,"31 Dec",175385,61947,113438,49410,0,33380,16030,6003,91405,51235,-55248,87392,"31 Dec",179513,73725,105788,115920,0,69373,46547,4621,54620,12242,-46700,20162,"31 Dec",179513,73725,105788,115920,0,69373,46547,4621,54620,12242,-46700,20162
"91","LIONHEART","30 Jun",1450,0,1450,206,0,0,206,1247,-3,202,-439,-240,"30 Jun",1450,0,1450,206,0,0,206,1247,-3,202,-439,-240,"30 Jun",1083,0,1083,352,0,0,352,943,-212,183,-357,-386,"30 Jun",1083,0,1083,352,0,0,352,943,-212,183,-357,-386,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",479,0,479,76,0,0,76,420,-17,211,-428,-234,"30 Jun",0,0,0,0,0,0,0,0,0,279,-141,138,"30 Jun",0,0,0,0,0,0,0,0,0,279,-141,138,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","LUMLEY GEN","30 Jun",537919,180450,357469,326527,42123,91816,192588,92052,72829,22543,-44047,51325,"30 Jun",537919,180450,357469,326527,42123,91816,192588,92052,72829,22543,-44047,51325,"30 Jun",530391,157467,372924,392065,45342,145729,200994,106006,65924,17608,-36659,46873,"30 Jun",530391,157467,372924,392065,45342,145729,200994,106006,65924,17608,-36659,46873,"30 Jun",646519,185139,461380,509086,61550,143204,304332,126271,30777,20806,-26920,24663,"30 Jun",646519,185139,461380,509086,61550,143204,304332,126271,30777,20806,-26920,24663,"30 Jun",779497,211988,567509,582023,72347,131388,378288,166238,22983,27080,-32355,17708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","MASTER BUT","01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","MDA","30 Jun",56235,9091,47144,26745,8859,-8174,26060,1090,19994,7043,-17194,9843,"30 Jun",56235,9091,47144,26745,8859,-8174,26060,1090,19994,7043,-17194,9843,"30 Jun",53058,7306,45752,40364,6628,13246,20490,1400,23862,9936,-18796,15002,"30 Jun",53058,7306,45752,40364,6628,13246,20490,1400,23862,9936,-18796,15002,"30 Jun",58939,6157,52782,35249,4066,1309,29874,2272,20636,15658,-20713,15581,"30 Jun",58939,6157,52782,35249,4066,1309,29874,2272,20636,15658,-20713,15581,"30 Jun",58393,6512,51881,44096,9704,7023,27369,1658,22854,-969,-17603,4282,"30 Jun",58393,6512,51881,44096,9704,7023,27369,1658,22854,-969,-17603,4282,"30 Jun",58565,7023,51542,31758,3894,6962,20902,1811,28829,3605,-22032,10402,"30 Jun",58565,7023,51542,31758,3894,6962,20902,1811,28829,3605,-22032,10402,"30 Jun",52944,5376,47568,8522,6195,-8417,10744,1991,34833,12491,-26616,20708
"95","MDU","30 Jun",0,0,0,-840,0,-582,-258,0,258,189,-136,311,"30 Jun",0,0,0,-840,0,-582,-258,0,258,189,-136,311,"30 Jun",0,0,0,-584,0,-388,-196,0,196,206,-125,277,"30 Jun",0,0,0,-584,0,-388,-196,0,196,206,-125,277,"30 Jun",0,0,0,-29,0,20,-49,0,49,298,-104,243,"30 Jun",0,0,0,-29,0,20,-49,0,49,298,-104,243,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","METLIFE","31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,0,0,240,0,0,240,0,-240,959,-345,374,"31 Dec",0,0,0,0,0,0,0,0,0,503,-151,352,"31 Dec",0,0,0,0,0,0,0,0,0,503,-151,352,"31 Dec",0,0,0,0,0,0,0,0,0,614,-201,413,"31 Dec",0,0,0,0,0,0,0,0,0,614,-201,413,"31 Dec",0,0,0,0,0,0,0,0,0,644,-213,431,"31 Dec",0,0,0,0,0,0,0,0,0,644,-213,431,"31 Dec",0,0,0,0,0,0,0,0,0,652,-200,452,"31 Dec",0,0,0,0,0,0,0,0,0,652,-200,452
"97","MGIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",13232,0,13232,2270,0,0,2270,7894,3068,1995,-1759,3304,"31 Dec",13232,0,13232,2270,0,0,2270,7894,3068,1995,-1759,3304,"31 Dec",15409,0,15409,12144,0,0,12144,8019,-4754,21517,-5510,11253,"31 Dec",15409,0,15409,12144,0,0,12144,8019,-4754,21517,-5510,11253,"31 Dec",-174,0,-174,-4611,0,0,-4611,5510,-1073,406,-19,-686,"31 Dec",-174,0,-174,-4611,0,0,-4611,5510,-1073,406,-19,-686
"98","MIA","30 Jun",52908,17028,35880,38876,7531,8767,22578,814,12488,3315,-9770,6033,"30 Jun",52908,17028,35880,38876,7531,8767,22578,814,12488,3315,-9770,6033,"30 Jun",41840,9130,32710,30766,6136,9267,15363,732,16615,3744,-10024,10335,"30 Jun",41840,9130,32710,30766,6136,9267,15363,732,16615,3744,-10024,10335,"30 Jun",36250,7560,28690,23051,3668,4791,14592,794,13304,7096,-11533,8867,"30 Jun",36250,7560,28690,23051,3668,4791,14592,794,13304,7096,-11533,8867,"30 Jun",34079,9399,24680,15350,-324,944,14730,654,9296,6788,-11063,5021,"30 Jun",34079,9399,24680,15350,-324,944,14730,654,9296,6788,-11063,5021,"30 Jun",31316,8119,23197,19228,2441,1307,15480,640,7077,6301,-10997,2381,"30 Jun",31316,8119,23197,19228,2441,1307,15480,640,7077,6301,-10997,2381,"30 Jun",31531,7158,24373,11810,-2664,-58,14532,598,9243,9238,-12842,5639
"99","MIPSI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",36502,5000,31502,15622,0,-720,16342,2699,12461,9408,-11796,10073,"30 Jun",37947,4720,33227,37085,0,18943,18142,2424,12661,3598,-6361,9898,"30 Jun",37947,4720,33227,37085,0,18943,18142,2424,12661,3598,-6361,9898,"30 Jun",37432,5800,31632,27341,-438,-3194,30973,1775,-1116,5328,-2831,1381,"30 Jun",37432,5800,31632,27341,-438,-3194,30973,1775,-1116,5328,-2831,1381,"30 Jun",37689,5712,31977,27183,4894,-3064,25353,963,5661,9434,-7660,7435
"100","MITSUI","31 Mar",22125,6495,15630,10512,0,1237,9275,1599,4756,4385,-5521,3620,"31 Mar",22125,6495,15630,10512,0,1237,9275,1599,4756,4385,-5521,3620,"31 Mar",22237,6732,15505,9398,0,-80,9478,1685,4342,5136,-4140,5338,"31 Mar",22237,6732,15505,9398,0,-80,9478,1685,4342,5136,-4140,5338,"31 Mar",23663,5416,18247,9690,0,1966,7724,1932,8591,6149,-7246,7494,"31 Mar",23663,5416,18247,9690,0,1966,7724,1932,8591,6149,-7246,7494,"31 Mar",22847,5496,17351,15617,0,4415,11202,2222,3927,6901,-4982,5846,"31 Mar",22847,5496,17351,15617,0,4415,11202,2222,3927,6901,-4982,5846,"31 Mar",25283,6364,18919,25925,0,7788,18137,2220,-1438,6140,-3938,764,"31 Mar",25283,6364,18919,25925,0,7788,18137,2220,-1438,6140,-3938,764,"31 Mar",25420,7166,18254,14359,0,2439,11920,2858,3476,3667,-5271,1872
"101","MMIA","31 Dec",642821,117348,525473,287564,-1707,70638,218633,191944,114896,59100,-81225,92771,"31 Dec",3959,19603,-15644,-84400,-22956,-10812,-50632,6836,28152,46881,-30628,44405,"31 Dec",3959,19603,-15644,-84400,-22956,-10812,-50632,6836,28152,46881,-30628,44405,"31 Dec",475,412,63,-22842,-5852,-53,-16937,-288,17288,29822,-16584,30526,"31 Dec",475,412,63,-22842,-5852,-53,-16937,-288,17288,29822,-16584,30526,"31 Dec",-151,53,-204,10830,3585,12840,-5595,1095,4296,43395,1614,49305,"31 Dec",-151,53,-204,10830,3585,12840,-5595,1095,4296,43395,1614,49305,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","MRMPL","30 Jun",4222,834,3388,804,56,0,748,117,2523,1388,-1481,2430,"30 Jun",4222,834,3388,804,56,0,748,117,2523,1388,-1481,2430,"30 Jun",3506,1558,1948,335,23,0,312,114,1522,1336,-1071,1787,"30 Jun",3506,1558,1948,335,23,0,312,114,1522,1336,-1071,1787,"30 Jun",4185,829,3356,1352,10,0,1342,147,1867,1542,-1295,2114,"30 Jun",4185,829,3356,1352,10,0,1342,147,1867,1542,-1295,2114,"30 Jun",4226,1294,2932,703,24,0,679,150,2103,1471,-1297,2277,"30 Jun",4226,1294,2932,703,24,0,679,150,2103,1471,-1297,2277,"30 Jun",3993,-1955,5948,2119,104,0,2015,139,3794,-4082,-277,-565,"30 Jun",3993,-1955,5948,2119,104,0,2015,139,3794,-4082,-277,-565,"30 Jun",2883,0,2883,505,74,0,431,74,2378,1689,-1516,2551
"103","MTA","30 Jun",15181,0,15181,2526,0,0,2526,7724,4931,3696,-4818,3809,"30 Jun",15181,0,15181,2526,0,0,2526,7724,4931,3696,-4818,3809,"30 Jun",19035,0,19035,2986,0,0,2986,9392,6657,5083,-6352,5388,"30 Jun",19035,0,19035,2986,0,0,2986,9392,6657,5083,-6352,5388,"30 Jun",20624,0,20624,1604,0,0,1604,10372,8648,6613,-8230,7031,"30 Jun",20624,0,20624,1604,0,0,1604,10372,8648,6613,-8230,7031,"30 Jun",26639,0,26639,4571,0,0,4571,12387,9681,-4680,-5225,-224,"30 Jun",26639,0,26639,4571,0,0,4571,12387,9681,-4680,-5225,-224,"30 Jun",20874,0,20874,2908,0,0,2908,9590,8376,-1502,-5118,1756,"30 Jun",20874,0,20874,2908,0,0,2908,9590,8376,-1502,-5118,1756,"30 Jun",22501,0,22501,2073,0,0,2073,9825,10603,3770,-7937,6436
"104","MUNICH RE","31 Dec",545595,8000,537595,356877,0,0,356877,115020,65698,118490,-59537,124651,"31 Dec",696871,36300,660571,327907,0,12792,315115,147504,197952,112405,-117444,192913,"31 Dec",696871,36300,660571,327907,0,12792,315115,147504,197952,112405,-117444,192913,"31 Dec",557926,36697,521229,353902,0,40112,313790,111168,96271,77137,-64215,109193,"31 Dec",557926,36697,521229,353902,0,40112,313790,111168,96271,77137,-64215,109193,"31 Dec",646422,40173,606249,450061,0,114076,335985,126209,144055,83752,-66673,161134,"31 Dec",646422,40173,606249,450061,0,114076,335985,126209,144055,83752,-66673,161134,"31 Dec",738889,66035,672854,585051,604,47579,536868,169770,-33784,188981,-71350,83847,"31 Dec",738889,66035,672854,585051,604,47579,536868,169770,-33784,188981,-71350,83847,"31 Dec",960916,83447,877469,420512,0,1959,418553,324698,134218,22961,-90045,67134,"31 Dec",960916,83447,877469,420512,0,1959,418553,324698,134218,22961,-90045,67134
"105","MUNICIPAL","30 Jun",0,0,0,680,0,0,680,9,-689,19,0,-670,"30 Jun",0,0,0,680,0,0,680,9,-689,19,0,-670,"30 Jun",0,0,0,450,0,0,450,9,-459,14,0,-445,"30 Jun",0,0,0,450,0,0,450,9,-459,14,0,-445,"30 Jun",0,0,0,213,0,0,213,15,-228,16,0,-212,"30 Jun",0,0,0,213,0,0,213,15,-228,16,0,-212,"30 Jun",0,0,0,-5,0,0,-5,3,2,19,0,21,"30 Jun",0,0,0,-5,0,0,-5,3,2,19,0,21,"30 Jun",0,0,0,0,0,0,0,1401,-1401,7,0,-1394,"30 Jun",0,0,0,-150,0,0,-150,0,150,7,-577,-420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","MUT COMM","30 Jun",36381,2769,33612,21913,4220,-952,18645,11378,3589,1621,-815,4395,"30 Jun",36381,2769,33612,21913,4220,-952,18645,11378,3589,1621,-815,4395,"30 Jun",36847,4061,32786,20038,2729,973,16336,11395,5055,1185,-2084,4156,"30 Jun",36847,4061,32786,20038,2729,973,16336,11395,5055,1185,-2084,4156,"30 Jun",37262,2649,34613,26020,3388,-378,23010,11557,46,1353,-558,841,"30 Jun",37262,2649,34613,26020,3388,-378,23010,11557,46,1353,-558,841,"30 Jun",38322,2613,35708,26316,3625,36,22656,11823,1229,1655,-914,1970,"30 Jun",38322,2613,35708,26316,3625,36,22656,11823,1229,1655,-914,1970,"30 Jun",40533,2634,37899,33966,4239,3262,26465,12643,-1209,2945,-610,1127,"30 Jun",40533,2634,37899,33966,4239,3262,26465,12643,-1209,2945,-610,1127,"30 Jun",43954,3131,40824,42103,5548,5983,30571,13905,-3653,1719,528,-1405
"107","NEW INDIA","31 Mar",3460,1800,1660,550,0,0,550,776,334,1175,-356,1153,"31 Mar",3460,1800,1660,550,0,0,550,776,334,1175,-356,1153,"31 Mar",5801,1756,4045,4548,0,214,4334,666,-955,1147,-536,-344,"31 Mar",5801,1756,4045,4548,0,214,4334,666,-955,1147,-536,-344,"31 Mar",6388,2249,4139,9429,0,6773,2656,1083,400,1305,-898,807,"31 Mar",6388,2249,4139,9429,0,6773,2656,1083,400,1305,-898,807,"31 Mar",5270,4401,869,351,0,1551,-1200,721,1348,1681,-1259,1770,"31 Mar",5270,4401,869,351,0,1551,-1200,721,1348,1681,-1259,1770,"31 Mar",10366,4318,6048,12660,0,7053,5607,1201,-760,2094,-945,389,"31 Mar",10366,4318,6048,12660,0,7053,5607,1201,-760,2094,-945,389,"31 Mar",17592,10096,7496,12815,0,6044,6771,1813,-1088,1366,-1172,-894
"108","NIPPONKOA","31 Mar",6820,2203,4617,2261,-531,327,2465,1813,339,1014,-371,982,"31 Mar",6820,2203,4617,2261,-531,327,2465,1813,339,1014,-371,982,"31 Mar",6643,2167,4476,11766,115,10496,1155,1925,1396,1231,-689,1938,"31 Mar",6643,2167,4476,11766,115,10496,1155,1925,1396,1231,-689,1938,"31 Mar",6670,2321,4349,707,5,-128,830,2112,1407,1463,-746,2124,"31 Mar",6670,2321,4349,707,5,-128,830,2112,1407,1463,-746,2124,"31 Mar",5964,1900,4064,6265,437,3887,1941,2157,-34,1708,-411,1263,"31 Mar",5964,1900,4064,6265,437,3887,1941,2157,-34,1708,-411,1263,"31 Mar",6650,1958,4692,5243,-258,2248,3253,2493,-1054,1502,-69,379,"31 Mar",6650,1958,4692,5243,-258,2248,3253,2493,-1054,1502,-69,379,"31 Mar",8137,2720,5417,-4656,-228,-7801,3373,2601,-557,894,-2,334
"109","NORTH","31 Dec",0,0,0,3819,0,-1114,4933,0,-4933,531,1211,-3191,"31 Dec",0,0,0,-802,132,-72,-862,0,862,861,-528,1195,"31 Dec",0,0,0,-802,132,-72,-862,0,862,861,-528,1195,"31 Dec",0,0,0,-15042,0,-14829,-213,0,213,1023,-465,771,"31 Dec",0,0,0,-15042,0,-14829,-213,0,213,1023,-465,771,"31 Dec",0,0,0,-1342,0,-445,-897,0,897,1146,-781,1262,"31 Dec",0,0,0,-1342,0,-445,-897,0,897,1146,-781,1262,"31 Dec",0,0,0,395,0,-39,434,0,-434,1281,-328,519,"31 Dec",0,0,0,395,0,-39,434,0,-434,1281,-328,519,"31 Dec",0,0,0,-536,0,285,-821,0,821,649,-550,920,"31 Dec",0,0,0,-536,0,285,-821,0,821,649,-550,920
"110","NRG LONDON","31 Dec",0,0,0,32,0,0,32,0,-32,1696,-803,861,"31 Dec",0,0,0,586,0,0,586,0,-586,1133,-480,67,"31 Dec",0,0,0,586,0,0,586,0,-586,1133,-480,67,"31 Dec",0,0,0,-2749,0,0,-2749,0,2749,740,-1490,1999,"31 Dec",0,0,0,-2749,0,0,-2749,0,2749,740,-1490,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","NRG VIC","31 Dec",180,0,180,5569,0,2689,2880,18,-2718,3231,-1106,-593,"31 Dec",-14,0,-14,-906,0,5679,-6585,-1,6572,2581,197,9350,"31 Dec",-14,0,-14,-906,0,5679,-6585,-1,6572,2581,197,9350,"31 Dec",0,0,0,11829,0,3398,8431,0,-8431,1337,2266,-4828,"31 Dec",0,0,0,11829,0,3398,8431,0,-8431,1337,2266,-4828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
